iter	RMSE
0	0.4970202927
1	0.4969627102
2	0.4969165179
3	0.496859975
4	0.4968110511
5	0.4967677267
6	0.4967238316
7	0.4966820677
8	0.496641755
9	0.4966031549
10	0.4965702064
11	0.4965386043
12	0.4965045064
13	0.4964751402
14	0.4964516004
15	0.4964233006
16	0.4963925848
17	0.4963700951
18	0.4963496922
19	0.4963223989
20	0.4963000453
21	0.4962734954
22	0.496255147
23	0.4962375265
24	0.4962193449
25	0.4962053316
26	0.4961900662
27	0.4961762599
28	0.49616354
29	0.4961473686
30	0.4961337701
31	0.4961172299
32	0.4961004536
33	0.4960867067
34	0.4960727404
35	0.4960526292
36	0.4960446471
37	0.4960336657
38	0.4960192823
39	0.4960075004
40	0.495992655
41	0.4959799767
42	0.4959673684
43	0.4959574537
44	0.4959431665
45	0.495932668
46	0.495921253
47	0.495911522
48	0.4958996081
49	0.4958878319
50	0.4958748571
51	0.4958638547
52	0.4958488535
53	0.4958391408
54	0.495829041
55	0.4958217638
56	0.4958122543
57	0.495799878
58	0.4957924763
59	0.4957826254
60	0.4957736119
61	0.4957657484
62	0.4957599526
63	0.4957469056
64	0.4957378736
65	0.4957286498
66	0.4957187277
67	0.4957083286
68	0.4957001027
69	0.4956900303
70	0.495684401
71	0.4956727412
72	0.4956665817
73	0.4956584016
74	0.4956507151
75	0.4956420388
76	0.4956354184
77	0.4956248393
78	0.4956160672
79	0.4956093092
80	0.4956001705
81	0.4955903928
82	0.4955839878
83	0.4955738544
84	0.4955664385
85	0.4955570606
86	0.4955494216
87	0.4955416083
88	0.4955335962
89	0.4955244061
90	0.4955187876
91	0.4955117413
92	0.4955051341
93	0.4954979957
94	0.4954913335
95	0.4954830406
96	0.4954767911
97	0.4954679127
98	0.4954604596
99	0.4954506721
100	0.4954447983
101	0.4954398966
102	0.4954324312
103	0.4954265925
104	0.4954202891
105	0.4954157919
106	0.4954094144
107	0.4954032414
108	0.4953970591
109	0.4953921742
110	0.4953850371
111	0.495379619
112	0.4953717341
113	0.4953628491
114	0.4953519623
115	0.4953463132
116	0.4953399549
117	0.495333809
118	0.4953288174
119	0.4953230924
120	0.4953189015
121	0.4953121574
122	0.4953066431
123	0.4953008678
124	0.4952952013
125	0.4952904751
126	0.4952847588
127	0.4952781185
128	0.4952748723
129	0.4952683326
130	0.4952623671
131	0.4952559964
132	0.495247545
133	0.4952389967
134	0.4952321952
135	0.4952280911
136	0.4952227142
137	0.4952166766
138	0.4952066968
139	0.4952017922
140	0.495194888
141	0.4951896954
142	0.4951817462
143	0.4951730025
144	0.4951690995
145	0.4951645214
146	0.4951545178
147	0.495147991
148	0.4951408358
149	0.4951344517
150	0.4951284189
151	0.4951237519
152	0.4951200286
153	0.4951153676
154	0.4951093377
155	0.4951022489
156	0.4950952581
157	0.4950905245
158	0.4950858411
159	0.495078713
160	0.4950745428
161	0.4950699206
162	0.4950650466
163	0.4950590095
164	0.4950525407
165	0.49504441
166	0.4950390289
167	0.4950312891
168	0.4950240763
169	0.4950163848
170	0.4950100049
171	0.4950044775
172	0.494999757
173	0.4949952158
174	0.4949886341
175	0.4949810444
176	0.4949761791
177	0.4949699195
178	0.4949653671
179	0.4949619097
180	0.4949554374
181	0.4949474113
182	0.4949423091
183	0.4949368203
184	0.4949309048
185	0.4949256261
186	0.4949207332
187	0.4949149297
188	0.4949101345
189	0.4949062687
190	0.4948988865
191	0.4948919827
192	0.4948855512
193	0.4948802194
194	0.4948718255
195	0.4948655721
196	0.4948599275
197	0.4948541912
198	0.4948483815
199	0.4948434806
200	0.4948389121
201	0.494832384
202	0.4948260053
203	0.4948215616
204	0.4948169434
205	0.494812365
206	0.4948061006
207	0.4947996084
208	0.4947935941
209	0.4947879765
210	0.4947816396
211	0.4947735756
212	0.4947664154
213	0.4947599374
214	0.494752089
215	0.4947471209
216	0.4947420293
217	0.4947360735
218	0.4947302706
219	0.4947252724
220	0.4947188093
221	0.494711431
222	0.4947051021
223	0.4946986472
224	0.4946935073
225	0.4946852895
226	0.4946767295
227	0.4946725203
228	0.4946659994
229	0.4946626817
230	0.4946548392
231	0.4946521037
232	0.4946461814
233	0.4946406777
234	0.4946337572
235	0.4946286684
236	0.4946248167
237	0.4946200264
238	0.4946146904
239	0.4946078007
240	0.4946008414
241	0.4945954314
242	0.4945896774
243	0.4945816527
244	0.494575804
245	0.4945696753
246	0.4945647654
247	0.4945583318
248	0.494552127
249	0.4945487947
250	0.4945413185
251	0.4945320118
252	0.4945268722
253	0.4945215382
254	0.4945167011
255	0.4945086881
256	0.4945026312
257	0.4944951201
258	0.4944875224
259	0.4944800672
260	0.494475775
261	0.4944697811
262	0.494460581
263	0.494454755
264	0.494449374
265	0.4944436958
266	0.494438036
267	0.4944329517
268	0.4944272567
269	0.4944200212
270	0.4944167591
271	0.4944120179
272	0.4944059244
273	0.4944003167
274	0.4943913675
275	0.494386008
276	0.494378608
277	0.4943725299
278	0.4943669199
279	0.494360567
280	0.4943520097
281	0.4943478583
282	0.4943438335
283	0.494336299
284	0.4943324486
285	0.494320854
286	0.4943134025
287	0.4943082269
288	0.494301989
289	0.4942945921
290	0.4942874426
291	0.4942803619
292	0.494275319
293	0.4942681323
294	0.4942606232
295	0.4942556379
296	0.4942491483
297	0.4942421482
298	0.4942360608
299	0.4942273661
300	0.4942192745
301	0.494210276
302	0.4942026564
303	0.4941954672
304	0.4941876914
305	0.4941780471
306	0.4941696409
307	0.4941612565
308	0.4941560955
309	0.4941496631
310	0.4941412368
311	0.4941344436
312	0.4941274447
313	0.4941201026
314	0.494110744
315	0.4941049212
316	0.4940990392
317	0.4940910501
318	0.494084445
319	0.494075225
320	0.4940684889
321	0.4940597221
322	0.4940511745
323	0.4940451235
324	0.4940394353
325	0.4940325214
326	0.4940240293
327	0.4940175372
328	0.4940111317
329	0.4940020824
330	0.4939954389
331	0.493987905
332	0.4939801155
333	0.4939743656
334	0.4939663001
335	0.4939595764
336	0.493952651
337	0.4939426361
338	0.4939370875
339	0.493930602
340	0.4939247976
341	0.4939150298
342	0.4939092363
343	0.4939008132
344	0.4938958119
345	0.4938885904
346	0.4938842992
347	0.4938788488
348	0.4938696656
349	0.4938624297
350	0.4938524819
351	0.4938462477
352	0.4938397039
353	0.4938322611
354	0.49382307
355	0.4938167572
356	0.4938116099
357	0.4938036464
358	0.4937969554
359	0.4937899009
360	0.4937851902
361	0.4937790822
362	0.4937715628
363	0.4937668521
364	0.4937614497
365	0.4937536012
366	0.4937478234
367	0.4937407899
368	0.4937324765
369	0.4937268991
370	0.4937204952
371	0.493714254
372	0.4937059769
373	0.4936977978
374	0.4936900986
375	0.4936840661
376	0.493678244
377	0.4936716562
378	0.4936644555
379	0.4936592658
380	0.4936495986
381	0.4936432693
382	0.4936367635
383	0.4936307532
384	0.4936256924
385	0.4936213333
386	0.4936148125
387	0.4936085424
388	0.493601484
389	0.4935934978
390	0.4935849962
391	0.4935798801
392	0.4935700325
393	0.4935635045
394	0.4935573385
395	0.4935521362
396	0.4935467239
397	0.4935403504
398	0.4935347574
399	0.4935271459
400	0.4935206755
401	0.4935147807
402	0.4935087097
403	0.4935015138
404	0.4934951925
405	0.4934864561
406	0.4934797729
407	0.4934733762
408	0.4934680383
409	0.4934621624
410	0.4934551509
411	0.4934484013
412	0.4934436249
413	0.4934383796
414	0.4934309113
415	0.493424273
416	0.4934181765
417	0.4934129024
418	0.4934066492
419	0.4934003646
420	0.4933922033
421	0.4933875958
422	0.4933841505
423	0.4933767947
424	0.4933685509
425	0.4933632378
426	0.493356914
427	0.4933474322
428	0.4933398503
429	0.4933318265
430	0.4933269789
431	0.4933202372
432	0.4933136156
433	0.4933089523
434	0.4933035661
435	0.4932963318
436	0.4932904109
437	0.4932864699
438	0.4932785947
439	0.4932719339
440	0.4932656105
441	0.4932602696
442	0.4932521512
443	0.4932469231
444	0.493240136
445	0.4932311857
446	0.4932242254
447	0.4932177532
448	0.493212173
449	0.4932066865
450	0.4931993088
451	0.4931927964
452	0.4931866297
453	0.4931790932
454	0.4931738362
455	0.4931663719
456	0.4931602154
457	0.4931561376
458	0.4931506115
459	0.4931450034
460	0.4931404502
461	0.4931355298
462	0.4931276018
463	0.4931219801
464	0.4931144294
465	0.4931099883
466	0.4931047266
467	0.4930991504
468	0.4930932065
469	0.4930871781
470	0.493080447
471	0.4930739926
472	0.4930673328
473	0.4930607732
474	0.4930548028
475	0.4930465013
476	0.4930410272
477	0.4930353902
478	0.4930286566
479	0.4930218992
480	0.4930163886
481	0.4930117569
482	0.4930040958
483	0.4929975382
484	0.4929935754
485	0.4929891142
486	0.4929855516
487	0.4929804926
488	0.4929735691
489	0.4929665697
490	0.4929601717
491	0.4929517897
492	0.4929448633
493	0.4929394404
494	0.4929330524
495	0.4929280466
496	0.4929241813
497	0.4929192977
498	0.4929127897
499	0.4929073572
500	0.4929010996
501	0.4928946237
502	0.4928879709
503	0.492882293
504	0.4928769927
505	0.4928712993
506	0.4928651798
507	0.49286053
508	0.4928535338
509	0.4928472829
510	0.4928404707
511	0.4928351804
512	0.4928288888
513	0.4928230334
514	0.4928158943
515	0.4928096486
516	0.4928027926
