iter	Passed	Remaining
0	73	43820
1	143	42962
2	203	40471
3	283	42275
4	347	41352
5	418	41460
6	487	41267
7	552	40854
8	618	40627
9	693	40929
10	764	40913
11	839	41147
12	904	40836
13	974	40793
14	1032	40278
15	1105	40359
16	1173	40258
17	1240	40097
18	1315	40228
19	1385	40193
20	1444	39833
21	1500	39434
22	1564	39242
23	1630	39142
24	1694	38975
25	1766	38996
26	1825	38750
27	1887	38561
28	1953	38461
29	2016	38314
30	2087	38313
31	2151	38181
32	2215	38068
33	2279	37940
34	2345	37855
35	2414	37820
36	2468	37554
37	2535	37491
38	2603	37447
39	2663	37284
40	2746	37439
41	2811	37355
42	2877	37279
43	2949	37274
44	3018	37230
45	3082	37126
46	3145	37004
47	3222	37060
48	3293	37034
49	3364	37014
50	3440	37041
51	3513	37025
52	3584	36997
53	3658	36994
54	3729	36955
55	3802	36942
56	3864	36818
57	3928	36714
58	3991	36598
59	4062	36563
60	4121	36417
61	4186	36326
62	4245	36185
63	4315	36138
64	4386	36107
65	4459	36077
66	4515	35919
67	4586	35886
68	4651	35798
69	4723	35766
70	4787	35670
71	4863	35666
72	4929	35588
73	5004	35575
74	5068	35481
75	5143	35462
76	5218	35442
77	5293	35426
78	5361	35356
79	5424	35256
80	5485	35148
81	5551	35069
82	5601	34890
83	5666	34806
84	5740	34782
85	5801	34673
86	5873	34631
87	5934	34528
88	5992	34404
89	6056	34321
90	6114	34199
91	6181	34135
92	6254	34096
93	6312	33979
94	6375	33893
95	6442	33823
96	6510	33761
97	6582	33716
98	6646	33637
99	6717	33589
100	6772	33459
101	6834	33366
102	6913	33360
103	6972	33253
104	7032	33152
105	7089	33038
106	7149	32941
107	7209	32844
108	7272	32761
109	7338	32691
110	7402	32611
111	7472	32557
112	7540	32499
113	7604	32419
114	7678	32381
115	7744	32311
116	7817	32273
117	7885	32211
118	7939	32089
119	7997	31990
120	8062	31918
121	8136	31880
122	8208	31833
123	8272	31757
124	8347	31720
125	8415	31658
126	8475	31567
127	8538	31484
128	8599	31399
129	8672	31355
130	8741	31294
131	8812	31245
132	8886	31203
133	8952	31134
134	9012	31042
135	9066	30933
136	9142	30896
137	9208	30829
138	9283	30789
139	9345	30707
140	9409	30632
141	9468	30540
142	9535	30474
143	9604	30415
144	9667	30337
145	9733	30265
146	9811	30236
147	9872	30151
148	9943	30097
149	10009	30027
150	10068	29937
151	10133	29866
152	10198	29795
153	10263	29725
154	10324	29639
155	10389	29570
156	10457	29506
157	10521	29433
158	10589	29371
159	10653	29297
160	10716	29222
161	10788	29169
162	10854	29100
163	10924	29043
164	10994	28986
165	11067	28936
166	11127	28851
167	11196	28791
168	11266	28734
169	11335	28671
170	11403	28609
171	11467	28534
172	11529	28458
173	11585	28365
174	11650	28293
175	11716	28226
176	11775	28141
177	11839	28068
178	11897	27983
179	11962	27911
180	12029	27848
181	12096	27781
182	12155	27699
183	12225	27640
184	12288	27565
185	12350	27488
186	12408	27405
187	12470	27329
188	12529	27245
189	12587	27161
190	12645	27078
191	12714	27018
192	12783	26958
193	12847	26887
194	12923	26841
195	12987	26769
196	13054	26704
197	13122	26642
198	13193	26586
199	13250	26501
200	13318	26438
201	13388	26380
202	13455	26314
203	13510	26226
204	13575	26158
205	13636	26082
206	13706	26021
207	13778	25967
208	13855	25921
209	13927	25866
210	13995	25802
211	14071	25753
212	14138	25688
213	14206	25625
214	14274	25561
215	14330	25475
216	14392	25402
217	14462	25342
218	14524	25268
219	14581	25186
220	14665	25150
221	14742	25102
222	14804	25028
223	14874	24967
224	14934	24890
225	14986	24800
226	15068	24760
227	15129	24684
228	15208	24639
229	15257	24545
230	15320	24473
231	15382	24400
232	15454	24341
233	15516	24269
234	15587	24210
235	15657	24150
236	15718	24075
237	15777	23997
238	15832	23914
239	15894	23841
240	15965	23782
241	16029	23713
242	16095	23647
243	16165	23585
244	16224	23508
245	16284	23433
246	16349	23365
247	16427	23316
248	16487	23241
249	16548	23168
250	16610	23096
251	16685	23041
252	16750	22974
253	16808	22896
254	16869	22823
255	16951	22778
256	17010	22702
257	17084	22646
258	17156	22587
259	17236	22539
260	17287	22453
261	17358	22394
262	17438	22345
263	17502	22276
264	17556	22194
265	17621	22125
266	17676	22046
267	17730	21965
268	17786	21885
269	17846	21811
270	17904	21735
271	17959	21657
272	18026	21592
273	18090	21523
274	18167	21470
275	18219	21387
276	18289	21326
277	18356	21261
278	18425	21199
279	18479	21118
280	18557	21066
281	18613	20989
282	18668	20911
283	18744	20856
284	18808	20787
285	18886	20735
286	18951	20667
287	19003	20587
288	19063	20514
289	19120	20438
290	19185	20372
291	19250	20304
292	19302	20224
293	19374	20165
294	19428	20087
295	19487	20014
296	19542	19936
297	19608	19872
298	19672	19804
299	19738	19738
300	19810	19679
301	19883	19619
302	19953	19558
303	20027	19499
304	20089	19430
305	20152	19362
306	20218	19296
307	20290	19236
308	20345	19160
309	20406	19089
310	20472	19024
311	20528	18949
312	20592	18881
313	20655	18813
314	20727	18753
315	20786	18681
316	20854	18617
317	20922	18554
318	20987	18487
319	21052	18421
320	21114	18351
321	21179	18285
322	21246	18220
323	21306	18150
324	21380	18091
325	21441	18021
326	21508	17956
327	21571	17888
328	21642	17826
329	21712	17764
330	21767	17690
331	21844	17633
332	21913	17569
333	21968	17495
334	22040	17435
335	22101	17365
336	22164	17297
337	22246	17244
338	22304	17172
339	22375	17110
340	22432	17037
341	22500	16974
342	22566	16908
343	22644	16851
344	22701	16779
345	22766	16713
346	22824	16641
347	22883	16570
348	22964	16516
349	23037	16455
350	23108	16393
351	23170	16325
352	23239	16260
353	23308	16197
354	23377	16133
355	23433	16060
356	23492	15990
357	23560	15926
358	23630	15863
359	23701	15800
360	23760	15730
361	23826	15665
362	23896	15601
363	23959	15534
364	24035	15474
365	24106	15412
366	24168	15343
367	24234	15278
368	24306	15216
369	24369	15148
370	24428	15078
371	24487	15008
372	24548	14939
373	24612	14872
374	24681	14808
375	24748	14743
376	24811	14676
377	24874	14608
378	24939	14542
379	25004	14476
380	25088	14420
381	25144	14349
382	25204	14280
383	25267	14213
384	25329	14144
385	25386	14074
386	25448	14006
387	25515	13941
388	25580	13875
389	25646	13809
390	25717	13746
391	25772	13675
392	25847	13614
393	25911	13547
394	25969	13477
395	26029	13409
396	26083	13337
397	26146	13270
398	26206	13201
399	26267	13133
400	26323	13063
401	26394	13000
402	26460	12934
403	26526	12869
404	26601	12808
405	26669	12743
406	26735	12677
407	26801	12612
408	26866	12546
409	26923	12476
410	26997	12415
411	27062	12348
412	27120	12279
413	27186	12214
414	27252	12148
415	27312	12080
416	27369	12011
417	27433	11944
418	27496	11878
419	27561	11812
420	27636	11750
421	27698	11683
422	27749	11611
423	27829	11551
424	27902	11489
425	27960	11420
426	28022	11353
427	28099	11292
428	28167	11227
429	28238	11163
430	28294	11094
431	28365	11030
432	28434	10966
433	28490	10897
434	28556	10831
435	28636	10771
436	28703	10706
437	28763	10638
438	28839	10576
439	28901	10509
440	28966	10443
441	29036	10379
442	29101	10313
443	29164	10247
444	29225	10179
445	29293	10114
446	29354	10047
447	29423	9982
448	29482	9914
449	29544	9848
450	29614	9784
451	29686	9720
452	29757	9656
453	29821	9590
454	29882	9523
455	29942	9455
456	30004	9388
457	30059	9319
458	30128	9255
459	30187	9187
460	30250	9121
461	30307	9052
462	30371	8986
463	30427	8918
464	30500	8855
465	30563	8788
466	30626	8722
467	30688	8655
468	30752	8589
469	30814	8523
470	30872	8455
471	30938	8390
472	30999	8323
473	31068	8258
474	31136	8193
475	31211	8130
476	31276	8065
477	31338	7998
478	31410	7934
479	31464	7866
480	31520	7798
481	31574	7729
482	31637	7663
483	31704	7598
484	31761	7531
485	31821	7464
486	31876	7396
487	31934	7329
488	32004	7264
489	32068	7199
490	32135	7133
491	32204	7069
492	32276	7005
493	32334	6938
494	32398	6872
495	32450	6804
496	32512	6737
497	32566	6670
498	32632	6604
499	32693	6538
500	32749	6471
501	32817	6406
502	32889	6342
503	32950	6276
504	33004	6208
505	33064	6142
506	33132	6077
507	33186	6010
508	33252	5944
509	33327	5881
510	33396	5816
511	33450	5749
512	33516	5684
513	33584	5619
514	33646	5553
515	33710	5487
516	33778	5422
517	33835	5356
518	33899	5290
519	33956	5224
520	34026	5159
521	34103	5095
522	34158	5029
523	34213	4962
524	34273	4896
525	34347	4832
526	34412	4766
527	34473	4700
528	34533	4634
529	34598	4569
530	34665	4504
531	34741	4440
532	34799	4374
533	34867	4309
534	34931	4244
535	35001	4179
536	35056	4112
537	35118	4047
538	35191	3982
539	35254	3917
540	35321	3852
541	35394	3787
542	35476	3724
543	35547	3659
544	35611	3593
545	35668	3527
546	35745	3463
547	35803	3397
548	35872	3332
549	35938	3267
550	35996	3201
551	36051	3134
552	36105	3068
553	36160	3002
554	36230	2937
555	36291	2872
556	36354	2806
557	36422	2741
558	36497	2676
559	36579	2612
560	36642	2547
561	36703	2481
562	36759	2415
563	36816	2350
564	36898	2285
565	36963	2220
566	37022	2154
567	37084	2089
568	37162	2024
569	37232	1959
570	37293	1894
571	37351	1828
572	37416	1763
573	37490	1698
574	37549	1632
575	37620	1567
576	37676	1501
577	37741	1436
578	37810	1371
579	37865	1305
580	37940	1240
581	38010	1175
582	38073	1110
583	38134	1044
584	38194	979
585	38255	913
586	38311	848
587	38369	783
588	38437	717
589	38492	652
590	38557	587
591	38616	521
592	38684	456
593	38755	391
594	38816	326
595	38878	260
596	38946	195
597	39018	130
598	39079	65
599	39154	0
