axis,gain,w,k,cover
dx_succ_onb 상위25%,4.441263716736671,1.0,1000.0,0.9984576362782882
tmc_breaking_dev 상위50%,3.9730325047617043,1.0,1000.0,0.7731226356668652
tmh_speed_dev 하위25%,3.910257937969959,1.5,3000.0,0.7891221938644692
tmh_speed_dev 상위50%,3.5496132114748207,1.5,3000.0,0.7891221938644692
tmh_breaking_dev 하위25%,3.472409692135784,0.65,1000.0,0.7891221938644692
tmc_fastball_dev 상위50%,2.909476906333225,1.5,3000.0,0.7731226356668652
tmc_speed_dev 상위50%,2.7455831178365315,1.5,3000.0,0.7731226356668652
dx_mid_bs 상위25%,2.7439912365082364,0.65,1000.0,0.9984576362782882
lx_str_bs 상위25%,2.714888939030061,0.65,1000.0,0.9984576362782882
score_diff_home 하위25%,2.671915304036702,0.65,1000.0,1.0
asof_pitcher_prev1_game_middle_rate 하위25%,2.652498752836891,0.65,1000.0,0.9856493114588551
dx_succ_bs 상위25%,2.6281702072705,0.65,1000.0,0.9984576362782882
tmh_n 상위25%,2.563080188385129,1.0,300.0,0.7891221938644692
asof_pitcher_prev1_game_middle_rate 상위50%,2.5146226699248473,0.3,300.0,0.9856493114588551
asof_pitcher_prev1_game_success_rate 상위50%,2.4706671944751406,0.5,1000.0,0.9856493114588551
asof_pitcher_prev3_game_success_rate 상위50%,2.4361171738535177,1.0,3000.0,0.9856493114588551
home_win_expectancy 하위25%,2.3292279814369294,1.5,3000.0,1.0
away_win_expectancy 상위25%,2.3292279814369294,1.5,3000.0,1.0
game_type==F,2.239439124458613,1.5,3000.0,1.0
game_type==R,2.239439124458613,1.5,3000.0,1.0
asof_batter_n 상위50%,2.2199594519463517,1.5,3000.0,1.0
strikes_before==0,2.066966806706091,1.0,3000.0,1.0
tmc_breaking_dev 하위25%,2.0620259870836435,1.5,3000.0,0.7731226356668652
tmh_offspeed_dev 상위25%,1.9152434951984105,0.5,1000.0,0.7891221938644692
lx_ball_bs 상위25%,1.895687525008725,1.5,3000.0,0.9984576362782882
runner_on_2b==1,1.864712634531088,0.65,1000.0,1.0
runner_on_2b==0,1.864712634531088,0.65,1000.0,1.0
cur_bb 하위25%,1.7601778073185415,1.5,3000.0,0.9984576362782882
asof_pitcher_strike_rate 하위25%,1.7263239959769408,0.3,300.0,0.9996804821957579
lx_rev_bs 상위25%,1.6889899417942615,0.5,1000.0,0.9984576362782882
score_diff_pitcher_team 상위25%,1.5743487006036503,0.3,300.0,1.0
cur_rev 상위50%,1.5506262672738558,0.3,300.0,0.9984576362782882
cur_succ 상위50%,1.4751658301356656,0.3,300.0,0.9984576362782882
asof_pitcher_ball_rate 상위50%,1.432862545153057,0.65,1000.0,0.9996804821957579
asof_pitcher_breaking_rate 하위25%,1.395309191935553,0.5,300.0,0.9996804821957579
game_dayofweek==5,1.2252213743123548,0.3,300.0,1.0
tmh_offspeed_dev 상위50%,1.161933954151209,0.65,3000.0,0.7891221938644692
asof_pitcher_breaking_rate 상위50%,1.11937907327831,1.5,3000.0,0.9996804821957579
asof_pitcher_prev5_game_success_rate 상위50%,1.0960783228280206,0.3,1000.0,0.9856493114588551
asof_pitcher_success_rate 하위25%,1.0946241038166136,0.5,300.0,0.9996804821957579
