axis,cond,w,sel_2223,g22,g23,hid24
L_pitch,career_rate,-2.5,3.627073893101894,-0.9361607712435216,8.19030855744731,-10.483011646219438
c_hand,inning,2.0,3.273395074698172,4.650275455918745,1.8965146934775987,-6.713066362177528
c_run,li,2.0,3.1299391714793074,4.340471809459359,1.9194065334992558,-3.144276375700656
dev0_plat,inning,2.0,2.1468343128645273,1.9363231883712615,2.357345437357793,-5.763082866001696
dev1_adv,career_rate,-1.5,1.8734130279567012,2.783227670379347,0.9635983855340555,-5.916686331524488
dev0_plat,strikes,-1.5,1.8202123994808943,3.9072737530018458,-0.26684895404005715,-3.411991118039168
dev1_adv,model_p,-1.5,1.6972223626354292,3.2974413876900144,0.09700333758084412,-6.606353049064751
c_hand,cur_mid,-1.5,1.4795207944452073,3.4722419768768304,-0.5132003879864158,-5.4015472735518415
L_bat,inning,1.5,1.4642820575102746,2.2262829160913498,0.7022811989291995,-3.700646967150874
L_bat,model_p,-1.5,1.2996255299216841,-1.0688625368202338,3.668113596663602,-5.187125057267167
dev0_plat,log_asof_p,1.5,1.2209123852334614,0.845207520047552,1.5966172504193707,-0.40916466142925856
c_hand,model_p,-1.5,1.0177278242229448,3.2755114263595715,-1.2400557779136818,-0.4992919508688374
L_pitch,model_p,-1.0,0.957586638022832,-1.2737649739383414,3.1889382499840053,-2.3026215594106816
dev0_plat,[위약3],1.0,0.904590311703771,1.0242847133376927,0.7848959100698494,-3.0976167258057785
c_hand,strikes,-1.0,0.8991322563174151,2.109263112528879,-0.31099859989404877,-4.249827534856536
c_run,[위약1],1.0,0.8865551423181159,1.3170271223825694,0.4560831622536625,0.3513699453218351
L_pitch,cur_succ,-1.0,0.8829370938168069,0.34062668977912836,1.4252474978544853,-3.548911170209294
dev3_run,li,1.0,0.8375519359049548,0.9649293635015965,0.7101745083083131,-0.2422527754551993
c_2S,balls,-1.0,0.8022772669134781,1.8146163413493923,-0.21006180752243608,-2.429261676608121
dev2_cnt,li,-1.0,0.8004533043221187,1.1613067909324855,0.43959981771175194,-1.6294250670215433
c_2S,strikes,-1.0,0.734265233126763,1.5890693457872658,-0.12053887953373987,-2.0290871671348896
c_2S,cur_mid,-1.0,0.684392561748524,1.137348501991255,0.23143662150579303,-2.229967010876976
dev2_cnt,onbase,-1.0,0.6733963149993514,1.4039791012237401,-0.057186471225037394,0.43454590127498705
c_run,onbase,1.0,0.6385495515164337,-0.14225528987981306,1.4193543929126804,-1.303540395332675
dev0_plat,logn_bat,1.0,0.6295723934793216,1.2944502499631199,-0.03530546300447668,-4.44908920246769
dev1_adv,strikes,1.0,0.6207403133774392,0.8425768082438481,0.3989038185110303,-3.188225721289541
dev1_adv,li,-1.0,0.6032855301677955,0.2725257296556265,0.9340453306799645,-2.889398620021325
dev2_cnt,balls,-1.0,0.5795773109754379,1.7569628435940103,-0.5978082216431346,-2.862111393729265
c_2S,log_asof_b,-1.0,0.5745412209576841,1.695118925377301,-0.5460364834619327,-4.035594621365135
dev1_adv,cur_succ,-1.0,0.5688104797547879,0.8025354306032568,0.33508552890631904,-1.243146801033845
L_bat,balls,1.0,0.5450652887278977,0.9097994158369147,0.18033116161888074,0.6662731042996484
dev0_plat,model_p,-1.0,0.5376410127949072,0.6600573529876783,0.415224672602136,-2.058861454451062
dev3_run,cur_mid,1.0,0.48004306693229637,0.3727651599197088,0.5873209739448839,-1.1855510408329337
dev0_plat,log_asof_b,1.0,0.4789853407292384,1.760740594242634,-0.8027699127841572,-4.154643249830428
L_pitch,balls,1.0,0.460651503524943,1.0296208008780923,-0.10831779382820628,-2.4826715332803815
L_pitch,strikes,1.0,0.4508619560623828,0.8075417763689074,0.0941821357558581,-2.6287904517793095
dev0_plat,cur_mid,-1.0,0.45058171273029757,1.0563578022820366,-0.15519437682144144,1.8312064831624184
L_bat,month,1.0,0.43682853298010116,0.910314045672294,-0.0366569797120917,-3.925496786261192
c_run,month,1.0,0.4239578860253488,1.0420166611334025,-0.19410088908270495,0.5425445921140408
L_pitch,logn_pitch,-1.0,0.41915809456669706,2.095933794046232,-1.2576176049128378,2.8554998243514547
c_run,log_asof_p,0.6,0.39923261714056935,1.111938558354268,-0.31347332407312933,0.9354056914809235
dev1_adv,onbase,-0.6,0.39895653546717824,0.17292650669423892,0.6249865642401176,0.4614267216809367
c_hand,career_rate,-0.6,0.39543097089436685,1.42404239813186,-0.6331804563431263,-0.34518290342919045
c_hand,log_asof_b,0.6,0.36742554453107346,1.3799700831937116,-0.6451189941315647,-1.4833935231363284
L_bat,logn_pitch,0.6,0.3673279574832691,-0.25196184615015227,0.9866177611166904,-0.05095081164108706
dev3_run,log_asof_b,0.6,0.3665846295543673,1.0047332885083051,-0.2715640293995705,0.26827630384923395
dev3_run,[위약2],-0.6,0.3613322477968808,0.9041145603573568,-0.18145006476359526,-1.6077003888184436
L_bat,li,-0.6,0.3508651502950215,0.5602703506906437,0.14145994989939936,0.3567835405534652
c_hand,cur_succ,0.6,0.3353530550414945,-0.1310339640035636,0.8017400740865526,0.8152301763341256
dev1_adv,balls,0.6,0.32152432027869793,0.7818193926459571,-0.13877075208856127,-2.8656334843567492
L_pitch,logn_bat,-0.6,0.3086267315138258,0.9362378583405189,-0.31898439531286726,1.5545336204435216
dev2_cnt,strikes,-0.6,0.3003784307352646,0.6301556026141952,-0.02939874114366603,-2.328000157839597
L_pitch,log_asof_p,0.6,0.3002883341578553,-1.7087240013756855,2.309300669691396,-1.4037737898971727
dev2_cnt,model_p,-0.6,0.29731700527801763,0.7416984032970504,-0.14706439274101513,-0.4527978411293816
c_run,log_asof_b,0.6,0.28275872306437577,0.6633974668329756,-0.09788002070422408,0.6866609638709633
dev2_cnt,[위약1],-0.6,0.27779661775686293,0.1632151092303502,0.39237812628337565,-0.6302932691427259
dev0_plat,onbase,0.6,0.26959663844598936,0.9573699996190044,-0.41817672272702566,-0.6574630704714082
dev1_adv,[위약2],-0.6,0.2520763433947337,0.5368263390291759,-0.03267365223970842,-1.4876010332153555
c_2S,[위약3],0.6,0.25121270225135106,0.5173715161668042,-0.01494611166410209,-0.31183842347013524
L_pitch,[위약2],-0.6,0.24707845543750295,0.7512863703313997,-0.25712945945639376,0.9580719927535029
dev2_cnt,inning,0.6,0.24413972444801857,0.24900911616805388,0.23927033272798326,-0.033781144756972026
L_bat,log_asof_b,-0.6,0.23586276641407267,0.8420004692384282,-0.37027493641028286,-1.478343817315249
c_2S,inning,-0.6,0.23410012337409114,0.11443558855489755,0.35376465819328473,-0.2578712297427046
dev1_adv,[위약1],0.6,0.20354287475818467,0.24445605054324915,0.16262969897312018,-0.9443373061462808
dev2_cnt,log_asof_p,0.6,0.20341474497652712,-0.08843355065573633,0.49526304060879056,0.4982594212852973
L_bat,[위약1],-0.6,0.20273108023580733,0.6285944626697528,-0.22313230219813818,-0.65678329816717
c_hand,[위약2],-0.6,0.1929097495164882,0.22516704689223843,0.16065245214073798,-0.6280869701969323
c_run,career_rate,0.6,0.18420155662873583,0.4779118543970071,-0.10950874113953546,-0.25955100253509045
dev0_plat,cur_succ,0.6,0.18103526436509298,0.09241117057808879,0.2696593581520972,0.8457208367088924
L_bat,log_asof_p,0.6,0.16955063340279253,-0.7959702486045899,1.135071515410175,0.5362747853760084
c_run,logn_bat,0.6,0.16536366235095556,0.6977164268455454,-0.3669891021436342,1.8608127878798086
L_bat,onbase,-0.6,0.15712185445096338,-0.08360472140475395,0.3978484303066807,-0.7987933335591606
L_pitch,li,0.6,0.14867780985564139,-0.3792324479245508,0.6765880676358336,1.6639467115873003
c_hand,[위약3],0.6,0.14029959535758962,-0.044357238603424776,0.324956429318604,-1.9228312865398038
c_run,model_p,-0.6,0.12649763072626286,0.17146913983560808,0.08152612161691764,-1.2424288443183968
dev3_run,[위약1],0.6,0.12308924554629641,0.17905577723513488,0.06712271385745794,-0.6927655792864016
dev2_cnt,[위약3],-0.3,0.11948902538715345,0.0779418284773783,0.1610362222969286,-0.1560550035127335
c_2S,month,0.3,0.1187397881251826,0.20965003672063176,0.027829539529733438,1.0485661504890231
dev1_adv,[위약3],0.3,0.11853738353038068,0.1312981911355564,0.10577657592520495,0.5586508728063109
dev2_cnt,log_asof_b,0.3,0.11637044549246411,-0.0037059625278743624,0.2364468535128026,0.556755709166282
c_run,strikes,-0.3,0.11568955636337819,0.3048410818123557,-0.07346196908559932,-0.4810852480413814
c_2S,logn_pitch,0.3,0.11454901160794861,0.126167108838672,0.10293091437722524,0.7546053123276124
c_2S,[위약2],-0.3,0.11019707556226876,0.1841778563339176,0.03621629479061994,-0.25817426339517624
dev0_plat,[위약2],-0.3,0.1099538427449005,0.26738909538244116,-0.04748140989264016,-0.5192739953880618
dev1_adv,logn_bat,0.3,0.10822995507201938,0.13804104077325974,0.07841886937077902,-0.25432760645617236
L_bat,logn_bat,-0.3,0.10365140457088273,0.26429457434642245,-0.056991765204656986,0.05121625799199592
c_hand,logn_bat,0.3,0.10299650168690277,0.39626245124600246,-0.1902694478721969,-0.31914523933153305
dev3_run,model_p,0.3,0.0973740118724038,0.1629494900203099,0.0317985337244977,0.06776847607159198
dev0_plat,career_rate,-0.3,0.09434646810925074,0.31404921959301646,-0.125356283374515,-0.5188420434752743
dev3_run,career_rate,0.3,0.0820105852662465,0.1501160543248261,0.013905116207666879,-0.42498289431784997
dev3_run,[위약3],0.3,0.08132405005503074,0.09837622460327111,0.06427187550679037,0.3811179092979273
c_hand,logn_pitch,-0.3,0.0799945109822886,0.09074632640613345,0.06924269555844376,0.16523024911862194
c_run,cur_mid,0.3,0.07753664619586687,-0.043134802057466004,0.19820809444919973,0.20739361217044916
dev0_plat,balls,0.3,0.07702150082791093,-0.1257241172729664,0.27976711892878825,0.08197984442733741
dev0_plat,month,0.3,0.07484468447161419,-0.08357844012834903,0.2332678090715774,-0.8459626538987095
dev3_run,log_asof_p,0.3,0.06727899264906512,-0.018452956758665096,0.15301094205679533,0.3975959487657974
dev2_cnt,logn_bat,0.3,0.06563582651848776,0.1259826634827732,0.005288989554202317,-0.5308179262598287
L_pitch,cur_mid,-0.3,0.061028587091001896,-0.029171824300192384,0.15122899848219618,-0.11054325367865658
dev3_run,logn_pitch,-0.3,0.060499678657578215,0.1606307343208755,-0.03963137700571906,-0.7365228316397179
dev1_adv,logn_pitch,0.3,0.060093560313859484,-0.047275686032207886,0.16746280665992685,-0.04025754529129699
L_pitch,[위약1],-0.3,0.057319206864491434,0.20286587574992154,-0.08822746202093867,0.25987142365011096
dev3_run,strikes,-0.3,0.05651970657355321,0.1426347297974644,-0.029595316650357972,-0.9709459759957326
c_2S,logn_bat,-0.3,0.048822703948729895,0.28020499724334513,-0.18255958934588534,-0.5157904597318748
dev2_cnt,cur_succ,-0.3,0.047744120477503316,0.37499287408491,-0.27950463312990337,-0.31744260001289604
dev1_adv,log_asof_p,0.3,0.04725855001741763,-0.19597149264245672,0.290488592677292,1.032996447876144
dev1_adv,inning,-0.3,0.046354131641592744,-0.03181080763351929,0.12451907091670478,0.1119220489061945
L_pitch,inning,0.3,0.04575799799658853,0.6788312551893796,-0.5873152591962025,0.1901272777917029
dev0_plat,logn_pitch,0.3,0.04489811921015985,0.09944343766437669,-0.009647199244056992,-0.6730072143899406
L_pitch,month,-0.3,0.040914437373174906,-0.3972891972425714,0.4791180719889212,1.097537630841316
c_run,cur_succ,-0.3,0.033626884504272425,-0.07546634547816211,0.14272011448670696,-0.5114511355966442
c_2S,onbase,-0.3,0.028127037779711372,0.023179812391390442,0.0330742631680323,0.5555988804115941
dev2_cnt,career_rate,0.3,0.026881123505106075,-0.20832888577388076,0.2620911327840929,0.25799976128200797
c_2S,[위약1],0.3,0.024312352527417147,-0.0699270421177971,0.1185517471726314,-0.4390724030338333
dev3_run,month,-0.3,0.024174164133768272,0.08327881859440822,-0.03493049032687168,-0.5614816697058131
c_hand,onbase,0.3,0.024075593490408664,0.02795132322489735,0.020199863755919978,-0.38839108038257564
L_bat,strikes,0.3,0.02325555343500696,0.1629617231692464,-0.11645061629923248,0.16805283587950726
dev3_run,onbase,0.3,0.022394426517450938,-0.3032978731039293,0.3480867261388312,-0.13094622792243626
c_2S,cur_succ,0.3,0.021202739476336774,-0.5028744616743097,0.5452799406269833,-0.3230702887234429
c_run,inning,0.3,0.01869520605686148,-0.10620637180818449,0.14359678392190744,0.6170798332013874
c_run,logn_pitch,0.3,0.016118243214691574,0.11993724147532703,-0.08770075504594388,0.31176338000841497
L_pitch,onbase,-0.3,0.01455110899954093,0.14678852990800806,-0.1176863119089262,-0.6515469042772111
L_bat,cur_succ,0.3,0.013525280518990712,0.030819852260719927,-0.0037692912227385023,0.07842954874251973
L_bat,career_rate,-0.3,0.013397779492109407,-0.01583753686691125,0.042633095851130065,0.44903277940170483
c_hand,log_asof_p,-0.3,0.012217604367094737,0.2170207939093416,-0.19258558517515212,-0.5996151254603319
L_pitch,log_asof_b,-0.3,0.011029222508582848,0.48413691878931786,-0.46207847377215217,0.7434345167060883
dev3_run,balls,0.3,0.01102099760024089,-0.0808472631888435,0.10288925838932528,0.6993508182923733
L_bat,cur_mid,0.3,0.010662129135425857,-0.47753985627650763,0.49886411454735935,-0.6467243642971425
c_2S,log_asof_p,-0.3,0.006328761365480773,0.20335489022227193,-0.1906973674913104,-0.8626870052661388
c_hand,li,0.3,0.0015154984044016828,-0.10432139954446029,0.10735239635326366,-0.5387729816418414
dev1_adv,log_asof_b,0.3,0.0004399436448778715,-0.03747773964414591,0.038357626933901656,-0.002630616368946903
c_run,[위약2],-0.3,-0.000119469859214405,0.24484480294086097,-0.24508374265928978,-0.546404801327526
c_run,balls,0.3,-0.00018954429623363467,-0.12868736092968902,0.12830827233722175,0.707057246355248
c_hand,[위약1],0.3,-0.004177523884777656,-0.07151165937784754,0.06315661160829222,-1.0772159835572666
dev3_run,inning,-0.3,-0.004528626007186176,0.1997069879821538,-0.20876423999652616,-0.47981440992919033
dev1_adv,month,0.3,-0.011725796099895547,-0.14856285451969597,0.12511126231990488,-0.1965267808942599
L_bat,[위약2],0.3,-0.01200391812558621,-0.06410334191468792,0.040095505663515496,-0.18766266845580049
L_bat,[위약3],0.3,-0.013397162927788031,-0.11269348629366505,0.08589916043808898,0.08483007127131259
dev0_plat,li,0.3,-0.015149042526431344,0.054355776323063765,-0.08465386137592645,-0.5245576804538814
c_2S,li,0.3,-0.018436664376778822,0.07289276023675484,-0.10976608899031248,-0.38591392938701574
dev2_cnt,logn_pitch,-0.3,-0.020280326700373053,0.00815145991555255,-0.048712113316298655,0.295329046464758
dev0_plat,[위약1],-0.3,-0.021182116556488495,-0.1353450939909635,0.09298086087798652,0.45936415238884365
dev1_adv,cur_mid,0.3,-0.02177923599860776,0.0418278728743644,-0.08538634487157992,0.273887461969025
L_pitch,[위약3],-0.3,-0.022513531371558315,-0.1105324855498111,0.06550542280669447,-0.5466125891272213
dev2_cnt,month,-0.3,-0.02791786817782338,-0.06746273286489668,0.01162699650924992,0.12266024563928113
c_2S,career_rate,-0.3,-0.033554406413315974,0.4036527452303744,-0.47076155805700637,0.011747482437499457
c_hand,month,0.3,-0.03371124394462299,-0.13495073528838475,0.06752824739913876,-0.24985691344284078
dev2_cnt,[위약2],-0.3,-0.0341015082666587,-0.015104339155641355,-0.05309867737767604,0.22923324078749374
c_run,[위약3],0.3,-0.03767437065604895,-0.1623352400265503,0.08698649871445241,-0.11406712913071715
dev3_run,cur_succ,0.3,-0.04293206455407983,-0.020645717225306726,-0.06521841188285293,0.20619370242150126
dev2_cnt,cur_mid,-0.3,-0.0440569911728943,-0.18017787468534152,0.09206389233955292,-0.5482652648009889
c_hand,balls,-0.3,-0.05117544032182764,-0.11027751924257245,0.00792663859891718,-0.5061042052727771
dev3_run,logn_bat,-0.3,-0.05232721481594638,-0.20328884799528169,0.09863441836338893,-1.2087115308306693
c_2S,model_p,-0.3,-0.05487290503762665,0.16263469760406224,-0.27238050767931554,0.420638362453019
