experiment_id,variant,model,n_features,hyperparameters,feature_spec,seeds,n_runs,fold_2021,fold_2022,fold_2023,fold_2024,mean,delta_mean,delta_se,delta_by_fold,sign_consistent,pos_frac,pred_mean,pred_std
exp001,base,hgb,55,"{""l2"": 1.0, ""leaves"": 10, ""lr"": 0.02, ""min_leaf"": 1000, ""n_iter"": 1100}","{""base"": ""prod""}","42,43,44,45,46,47,48,49,50,51",30,1204.53,2260.93,,665.60,1377.02,,,,,,0.5168,0.0552
exp002,base,hgb,55,"{""l2"": 1.0, ""leaves"": 10, ""lr"": 0.02, ""min_leaf"": 1000, ""n_iter"": 1100}","{""base"": ""prod""}","42,43,44",9,1207.22,2250.61,,662.99,1373.61,,,,,,0.5165,0.0551
exp002,no_batter_n,hgb,54,"{""l2"": 1.0, ""leaves"": 10, ""lr"": 0.02, ""min_leaf"": 1000, ""n_iter"": 1100}","{""base"": ""prod"", ""drop"": [""asof_batter_n""]}","42,43,44",9,1200.88,2243.88,,695.92,1380.23,+6.62,7.11,2021:-6.3 2022:-6.7 2024:+32.9,NO,4/9,0.5159,0.0550
exp002,no_both,hgb,53,"{""l2"": 1.0, ""leaves"": 10, ""lr"": 0.02, ""min_leaf"": 1000, ""n_iter"": 1100}","{""base"": ""prod"", ""drop"": [""season"", ""asof_batter_n""]}","42,43,44",9,1315.70,2214.72,,235.91,1255.44,-118.17,80.04,2021:+108.5 2022:-35.9 2024:-427.1,NO,3/9,0.5182,0.0556
exp002,no_season,hgb,54,"{""l2"": 1.0, ""leaves"": 10, ""lr"": 0.02, ""min_leaf"": 1000, ""n_iter"": 1100}","{""base"": ""prod"", ""drop"": [""season""]}","42,43,44",9,1325.62,2219.94,,206.68,1250.74,-122.86,86.16,2021:+118.4 2022:-30.7 2024:-456.3,NO,3/9,0.5192,0.0557
exp004,base,hgb,55,"{""l2"": 1.0, ""leaves"": 10, ""lr"": 0.02, ""min_leaf"": 1000, ""n_iter"": 1100}","{""base"": ""prod""}","42,43,44",9,1207.22,2250.61,,662.99,1373.61,,,,,,0.5165,0.0551
exp004,tmx_both,hgb,61,"{""l2"": 1.0, ""leaves"": 10, ""lr"": 0.02, ""min_leaf"": 1000, ""n_iter"": 1100}","{""add"": [""tmc_spin_dev"", ""tmc_hb_dev"", ""tmc_ivb_dev"", ""tmh_spin_dev"", ""tmh_hb_dev"", ""tmh_ivb_dev""], ""base"": ""prod""}","42,43,44",9,1218.60,2261.19,,653.23,1377.67,+4.07,4.93,2021:+11.4 2022:+10.6 2024:-9.8,NO,4/9,0.5174,0.0555
exp004,tmx_c,hgb,58,"{""l2"": 1.0, ""leaves"": 10, ""lr"": 0.02, ""min_leaf"": 1000, ""n_iter"": 1100}","{""add"": [""tmc_spin_dev"", ""tmc_hb_dev"", ""tmc_ivb_dev""], ""base"": ""prod""}","42,43,44",9,1206.96,2252.96,,659.14,1373.02,-0.59,3.53,2021:-0.3 2022:+2.3 2024:-3.9,NO,5/9,0.5166,0.0552
exp004,tmx_h,hgb,58,"{""l2"": 1.0, ""leaves"": 10, ""lr"": 0.02, ""min_leaf"": 1000, ""n_iter"": 1100}","{""add"": [""tmh_spin_dev"", ""tmh_hb_dev"", ""tmh_ivb_dev""], ""base"": ""prod""}","42,43,44",9,1217.38,2262.64,,650.57,1376.86,+3.26,5.06,2021:+10.2 2022:+12.0 2024:-12.4,NO,5/9,0.5173,0.0556
exp005,base,hgb,55,"{""l2"": 1.0, ""leaves"": 10, ""lr"": 0.02, ""min_leaf"": 1000, ""n_iter"": 1100}","{""base"": ""prod""}","42,43,44,45,46,47",18,1202.89,2263.24,,665.58,1377.23,,,,,,0.5167,0.0551
