pitcher_id,pitcher_trackman_id,votes,total,conf
21690,75867,286,286,1.0
22738,63543,275,275,1.0
22741,65060,270,270,1.0
22743,65062,267,267,1.0
23637,69159,267,267,1.0
22547,76650,254,254,1.0
22397,62360,253,253,1.0
22617,63959,251,251,1.0
21789,76430,249,249,1.0
21402,73117,245,245,1.0
22293,61643,243,243,1.0
22254,60146,239,239,1.0
22419,62528,239,239,1.0
22782,65769,237,237,1.0
23848,75421,229,229,1.0
23590,68900,226,226,1.0
22592,76118,219,219,1.0
22729,65048,217,217,1.0
21940,77211,210,210,1.0
23238,67266,207,207,1.0
23225,67119,203,203,1.0
23235,67246,202,202,1.0
23414,67703,202,202,1.0
22028,78352,198,198,1.0
23288,67391,197,197,1.0
23043,65949,194,194,1.0
22735,61895,190,190,1.0
23363,67421,185,185,1.0
21372,72523,181,181,1.0
22389,62363,178,178,1.0
22834,66291,178,178,1.0
22624,63950,178,178,1.0
23439,61268,176,176,1.0
22996,74857,174,174,1.0
21441,73211,172,172,1.0
22710,65707,168,168,1.0
23634,69134,162,162,1.0
22094,79140,160,160,1.0
23893,50556,159,159,1.0
22525,63248,157,157,1.0
21943,77263,155,155,1.0
22427,62242,154,154,1.0
22508,63342,153,153,1.0
23561,67263,151,151,1.0
22302,60337,151,151,1.0
23935,50705,150,150,1.0
24252,52060,150,150,1.0
22318,61365,148,148,1.0
22540,63765,145,145,1.0
21432,73801,144,144,1.0
23665,65665,141,141,1.0
23589,68928,141,141,1.0
22231,60768,141,141,1.0
22575,63464,139,139,1.0
21936,77318,136,136,1.0
22278,61145,134,134,1.0
23633,543391,132,132,1.0
23558,68242,131,131,1.0
23540,68856,130,130,1.0
22368,62146,130,130,1.0
24063,51454,129,129,1.0
22667,64596,128,128,1.0
23719,69446,128,128,1.0
23312,67828,128,128,1.0
22772,77927,127,127,1.0
23769,69962,125,125,1.0
23630,66609,125,125,1.0
23786,69041,124,124,1.0
21994,60559,124,124,1.0
22143,79358,121,121,1.0
23306,65616,121,121,1.0
22759,64021,120,120,1.0
22435,62869,119,119,1.0
22598,62951,119,119,1.0
22277,61101,118,118,1.0
22621,63960,117,117,1.0
22311,61457,116,116,1.0
22205,60336,115,115,1.0
22253,60140,114,114,1.0
23478,68043,114,114,1.0
23614,65643,114,114,1.0
23929,50662,113,113,1.0
22890,65320,113,113,1.0
21414,73738,112,112,1.0
22154,79545,112,112,1.0
23501,68639,112,112,1.0
23307,67603,111,111,1.0
23437,66018,109,110,0.990909090909091
23593,68902,110,110,1.0
22163,79764,109,109,1.0
23459,68585,109,109,1.0
23047,64995,108,108,1.0
22908,65516,107,107,1.0
23857,50106,107,107,1.0
23440,68341,106,106,1.0
21875,76329,106,106,1.0
23745,518852,106,106,1.0
24224,52204,105,105,1.0
22249,60263,105,105,1.0
22922,64047,103,103,1.0
22651,64350,101,101,1.0
23782,571035,100,100,1.0
23767,69940,100,100,1.0
22899,64580,99,99,1.0
23515,68403,98,98,1.0
23903,50859,98,98,1.0
23627,62611,98,98,1.0
23979,50360,97,97,1.0
24089,51301,97,97,1.0
23536,64805,97,97,1.0
22668,64565,97,97,1.0
22717,65343,97,97,1.0
22491,75340,95,95,1.0
23512,65496,95,95,1.0
23880,571527,95,95,1.0
24056,51895,94,94,1.0
